Date,Company,Count
5/1/2022,台積電,47
5/1/2022,ASML,39
5/1/2022,Applied Materials,6
5/1/2022,SUMCO,6
4/1/2022,台積電,79
4/1/2022,ASML,31
4/1/2022,Applied Materials,7
4/1/2022,SUMCO,7
3/1/2022,台積電,86
3/1/2022,ASML,67
3/1/2022,Applied Materials,4
3/1/2022,SUMCO,9
2/1/2022,台積電,84
2/1/2022,ASML,26
2/1/2022,Applied Materials,4
2/1/2022,SUMCO,5
1/1/2022,台積電,103
1/1/2022,ASML,52
1/1/2022,Applied Materials,0
1/1/2022,SUMCO,3
12/1/2021,台積電,97
12/1/2021,ASML,111
12/1/2021,Applied Materials,6
12/1/2021,SUMCO,1
11/1/2021,台積電,123
11/1/2021,ASML,50
11/1/2021,Applied Materials,2
11/1/2021,SUMCO,10
10/1/2021,台積電,171
10/1/2021,ASML,129
10/1/2021,Applied Materials,6
10/1/2021,SUMCO,55
